Rank,Creator_URL,Creator,Creator1,Patrons,DaysRunning,Launched
101,https://graphtreon.com/creator/wintergatan,Wintergatan is creating Marble Machine X. Music. World Tour. (wintergatan),Wintergatan,5332,776,Jun-18
102,https://graphtreon.com/creator/theminimalists,The Minimalists is creating a private podcast (theminimalists),The Minimalists,5266,1198,Apr-17
103,https://graphtreon.com/creator/thegooddeath,Caitlin Doughty is creating Death Positive Content  (thegooddeath),Caitlin Doughty,5245,2178,Aug-14
104,https://graphtreon.com/creator/simonegiertz,Simone Giertz is creating all the things (simonegiertz),Simone Giertz,5240,1326,Dec-16
105,https://graphtreon.com/creator/dankmemerbot,Mel and team is creating Dank Memer (dankmemerbot),Mel and team,5226,1553,May-16
106,https://graphtreon.com/creator/TimeGhostHistory,TimeGhost is creating Online Historical Documentaries (TimeGhostHistory),TimeGhost,5185,1171,May-17
107,https://graphtreon.com/creator/VivienneMedrano,"Vivienne Medrano is creating ""Hazbin Hotel"" and more Cartoons!! (VivienneMedrano)",Vivienne Medrano,5119,2335,Mar-14
108,https://graphtreon.com/creator/pauldavids,Paul Davids is creating Inspirational guitar videos (pauldavids),Paul Davids,5101,1243,Mar-17
109,https://graphtreon.com/creator/homefree,Home Free is creating music videos (homefree),Home Free,5098,2253,Jun-14
110,https://graphtreon.com/creator/czepeku,"Cze and Peku is creating maps for DnD, Pathfinder and other RPGs (czepeku)",Cze and Peku,5008,566,Jan-19
111,https://graphtreon.com/creator/laisvestv,LaisvÄ—s TV is creating TV Show (laisvestv),LaisvÄ—s TV,5000,1436,Sep-16
112,https://graphtreon.com/creator/Melodylane,Melody Lane is creating Videos and Cricut Classes (Melodylane),Melody Lane,4993,2494,Oct-13
113,https://graphtreon.com/creator/willam,Willam Belli is creating Videos (willam)nsfw,Willam Belli,4955,1946,Apr-15
114,https://graphtreon.com/creator/razedmods,Razed is creating mods and shaders for PC games (razedmods),Razed,4949,87,May-20
115,https://graphtreon.com/creator/shiniebezial,"stjepan sejic is creating comics, novels, illustrations (shiniebezial)nsfw",stjepan sejic,4927,859,Apr-18
116,https://graphtreon.com/creator/vikingpreparedness,Viking Preparedness is creating motivation to improve your life! (vikingpreparedness),Viking Preparedness,4923,1313,Jan-17
117,https://graphtreon.com/creator/redhanded,RedHanded is creating Podcasts (redhanded),RedHanded,4903,1004,Nov-17
118,https://graphtreon.com/creator/cynthialin,"Cynthia Lin is creating music, ukulele lessons, and a positive online uke community (cynthialin)",Cynthia Lin,4899,1916,May-15
119,https://graphtreon.com/creator/diives,Diives is creating Animations and cutie pies (diives)nsfw,Diives,4893,1620,Mar-16
120,https://graphtreon.com/creator/basemental,Basemental is creating mods for The Sims 4 (basemental)nsfw,Basemental,4863,1170,May-17
121,https://graphtreon.com/creator/kidmo,"Kidmo is creating Art, Painting, H Pictures (kidmo)nsfw",Kidmo,4854,512,Mar-19
122,https://graphtreon.com/creator/warcraftlogs,"Kihra is creating Warcraft Logs,  FF Logs, and ESO Logs (warcraftlogs)",Kihra,4849,1938,Apr-15
123,https://graphtreon.com/creator/Savinmander,Savin is creating Interactive Adult Stories (Savinmander)nsfw,Savin,4837,2330,Mar-14
124,https://graphtreon.com/creator/heartandhand,Heart and Hand is creating Podcasts (heartandhand),Heart and Hand,4833,985,Nov-17
125,https://graphtreon.com/creator/muellershewrote,"Mueller, She Wrote & The Daily Beans is creating podcasts (muellershewrote)","Mueller, She Wrote & The Daily Beans",4804,924,Jan-18
126,https://graphtreon.com/creator/nerdcubed,"NerdÂ³ is creating Videos, Words, Streams, Podcasts, and Whatever (nerdcubed)",NerdÂ³,4804,1745,Oct-15
127,https://graphtreon.com/creator/palmer,Palmer is creating adult games (palmer)nsfw,Palmer,4804,1822,Aug-15
128,https://graphtreon.com/creator/nicolecardoza,Nicole Cardoza is creating daily newsletters and resources to dismantle white supremacy. (nicolecardoza),Nicole Cardoza,4800,90,May-20
129,https://graphtreon.com/creator/coldones,Cold Ones is creating Drunk Content (coldones),Cold Ones,4793,634,Nov-18
130,https://graphtreon.com/creator/UndrTheCosh,Undr The Cosh is creating Podcast and more (UndrTheCosh),Undr The Cosh,4779,299,Oct-19
